,vdis,beta_con,DNI,DIF,mcpi
40,1.3103449999999999,4.2008134699999996e+23,291.68,125.33587,0.8415257825689977
41,1.3118420760912368,1.1279248413947454e+24,290.54355,125.74615,0.7731930972296797
42,1.3118571653175357,1.127919286452011e+24,295.34515,123.60632,0.951018278139289
43,1.3118421172113381,1.127924771974574e+24,290.54355,125.74615,0.7731930972296797
44,1.3118443828177457,1.1279288050566195e+24,301.38928,123.061905,1.088546527414168
45,1.3121632666015626,1.1273451188710938e+24,296.2661,124.46047,0.9521701467883759
46,1.3118420855320827,1.1279248288217173e+24,290.54355,125.74615,0.7731930972296797
47,1.3118420698104503,1.1279248488431983e+24,290.54355,125.74615,0.7731930972296797
48,1.3118420690106025,1.1279248508245162e+24,290.54355,125.74615,0.7731930972296797
49,1.3118705486488347,1.1278951308229826e+24,294.64075,125.060356,0.9340072779344881
50,1.3186741406250002,1.1600027139374998e+24,297.12488,124.15973,0.9746878636525915
51,1.3117816719818118,1.1279471240308225e+24,296.61807,124.04829,0.9830731391713949
52,1.3118557893371585,1.1280735588739012e+24,295.8153,124.40866,1.0458723793674627
53,1.4,1.3986415749999998e+24,294.28076,125.335526,0.9190987950053155
54,1.3118409085667138,1.1279228784233501e+24,293.6855,124.871475,0.9130540301828236
55,1.3118420665717274,1.1279248595691671e+24,290.54355,125.74615,0.7731930972296797
56,1.366726875,1.1176812364999998e+24,297.72083,124.11454,1.0014244807919868
57,1.3118420666110593,1.1279248567684703e+24,290.54355,125.74615,0.7731930972296797
58,1.3152045703125002,1.1440604064687496e+24,295.44986,124.41535,0.9811308356965073
59,0.1,1.15e+23,320.98648,118.64421,1.0
60,1.3185872656250002,1.1157504169374999e+24,298.024,123.498474,1.0261412778892156
61,1.3117784375000001,1.1502442474999998e+24,294.70624,124.96036,0.8989215101625021
62,1.3100002148437502,1.1201469452656249e+24,294.80804,124.21177,0.9480436378744888
63,1.3118420672404438,1.1279248531819591e+24,290.54355,125.74615,0.7731930972296797
64,1.3118420674305729,1.1279248533868038e+24,290.54355,125.74615,0.7731930972296797
65,1.3083088671875,1.1343019400312499e+24,293.9959,124.75255,0.9232145155545632
66,1.311842066493064,1.1279248651705608e+24,290.54355,125.74615,0.7731930972296797
68,1.3100219335937502,1.1312100195156249e+24,295.33487,123.23174,0.9028228418039647
69,1.3118722639846805,1.1279137189362486e+24,292.2178,125.44901,0.8565940729514838
70,1.32543953125,1.1033827348749998e+24,294.82285,124.122696,0.8823314020866967
71,1.3108784667968751,1.1296640592578123e+24,295.03934,124.06917,0.8592205479804562
72,1.311802256011963,1.1281701813900145e+24,297.5159,123.61313,0.9845017759547547
73,1.3118420666405584,1.1279248546679476e+24,290.54355,125.74615,0.7731930972296797
74,1.3118756946563725,1.1279508951627806e+24,293.7524,125.52077,0.8837592808232224
75,1.3118420697711184,1.1279248516438952e+24,290.54355,125.74615,0.7731930972296797
76,1.3119491333007816,1.1277316089355466e+24,294.48206,124.82558,0.8406529657903217
77,1.3665531249999998,1.0291766424999998e+24,295.65973,124.30489,0.9482645280095798
78,1.3118420919308647,1.1279248129711736e+24,290.54355,125.74615,0.7731930972296797
79,1.3118420674404057,1.1279248526866295e+24,290.54355,125.74615,0.7731930972296797
80,1.3118420682107548,1.1279248528058343e+24,290.54355,125.74615,0.7731930972296797
81,1.3118458413171772,1.1279234620888327e+24,296.17575,124.66992,0.9643445737720703
82,1.3118408481531967,1.1279271802937579e+24,296.42465,124.49448,0.9752704254220064
83,1.3118563076496126,1.127909992395378e+24,296.97018,124.16082,1.0174525648683277
84,1.0917675000000004,1.1698655489999997e+24,295.98404,124.36118,0.9770383323115949
85,1.3118421165820306,1.127924816785724e+24,290.54355,125.74615,0.7731930972296797
86,1.3117377148437501,1.12950098328125e+24,294.35638,124.440796,0.9513846706632113
87,1.3118221613311771,1.1280475176788939e+24,294.61478,124.730095,0.9301920558331638
88,1.304795859375,1.0962334840624999e+24,297.9789,123.49494,0.9898694017711764
89,1.3118420791333008,1.127924844672261e+24,290.54355,125.74615,0.7731930972296797
90,1.3118395893803243,1.1279323745333476e+24,293.7444,124.717316,0.9089917409551869
91,1.3118421044137745,1.1279248036756613e+24,290.54355,125.74615,0.7731930972296797
92,1.3118537346458436,1.127882110225479e+24,294.96207,124.776306,0.9563238491200636
93,1.3118420678304967,1.1279248523961448e+24,290.54355,125.74615,0.7731930972296797
